Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-280.14575	72.680626	-155.13837	-333.44763	-264.33432	66.3289	-66.74727	-298.54276	1000.0	1000.0	3999	4.051587	2.8561962	20.018007	-4.032293	4.0522738	2.857939	19.28641	-3.6014407	-3.2586768	1.4399337	13.278351	-11.807875	-4.8981853	0.69516146	57.566428899765015
2	-283.03937	27.409039	-251.04451	-319.88748	-296.8511	25.91412	-232.51863	-328.9104	1000.0	1000.0	7999	15.378066	6.4789677	45.23493	-3.4724946	15.377701	6.478114	45.24111	-3.5991082	-1.2178034	2.715766	17.163881	-13.192076	-16.673523	2.3004725	131.90065360069275
3	-224.89893	161.23123	48.36869	-370.23047	83.921486	121.46788	369.45282	-48.99251	1000.0	1000.0	11999	32.234653	9.460017	113.89109	8.628083	32.23436	9.459273	114.80871	7.775852	-0.54393667	3.2361176	26.294872	-13.696826	-33.552635	4.3143253	206.92040371894836
4	236.47812	326.5694	580.34033	-233.63786	1101.0729	281.2841	1303.8132	313.52145	1000.0	1000.0	15999	38.887398	12.629631	131.5087	17.010736	38.886765	12.630264	132.28723	17.034412	-2.1756265	2.2962914	19.593311	-14.181265	-39.54287	3.7906497	282.46788215637207
5	891.37744	126.7047	1108.739	799.6497	1575.9525	85.19681	1748.9395	1451.2487	1000.0	1000.0	19999	43.39478	14.225857	140.41844	18.761593	43.394455	14.225366	138.41655	18.029572	-2.2670882	2.1543548	17.633759	-13.670137	-43.94759	3.4406748	357.90807151794434
6	1523.2648	344.44235	1984.9774	1183.7517	2753.2805	80.48333	2864.6292	2570.493	1000.0	1000.0	23999	50.76263	16.905725	154.23837	20.130104	50.762886	16.90457	155.2289	20.252365	-1.7928759	2.3998816	18.429447	-14.334622	-51.317516	4.16504	433.4146432876587
7	2440.454	355.8788	2892.3489	1941.2075	3417.972	65.82477	3541.6697	3339.1797	1000.0	1000.0	27999	63.45068	23.019674	152.06763	21.680698	63.450695	23.017305	150.45265	21.9267	-0.8517634	2.9121733	18.743093	-13.330023	-64.105545	6.0568523	508.6319124698639
8	2848.368	254.00212	3100.3782	2426.336	3836.1777	90.20208	3974.4187	3647.2922	1000.0	1000.0	31999	82.132385	30.890015	162.1507	23.622898	82.1322	30.888105	163.62357	22.923302	-0.03527268	3.242806	25.634209	-11.759647	-82.859985	8.046896	583.8344638347626
9	3216.088	79.16418	3339.442	3122.18	3941.9036	69.77962	4056.011	3857.8223	1000.0	1000.0	35999	104.10642	38.23571	182.76703	23.112549	104.10597	38.234287	185.31357	24.131744	0.59886885	3.4750264	35.937145	-13.570583	-104.8617	9.439275	659.046895980835
10	3668.1035	164.20312	3936.6711	3531.8247	4317.659	65.232735	4440.9375	4238.2236	1000.0	1000.0	39999	126.34216	44.984863	216.32846	23.369585	126.34189	44.985016	215.95453	24.03095	0.93331736	3.5479076	26.366957	-13.245712	-127.029594	10.560082	734.4901013374329
11	3927.9592	216.3652	4130.4033	3602.6033	4366.212	80.245735	4457.997	4159.2256	1000.0	1000.0	43999	148.18036	51.566902	246.34653	23.778904	148.17981	51.56635	243.9975	25.75523	1.3321629	3.6839752	32.10668	-14.682493	-148.81041	12.648989	814.5289137363434
12	4308.334	124.374	4494.387	4150.944	4746.358	62.87569	4862.083	4675.6636	1000.0	1000.0	47999	169.98952	57.960083	278.35468	23.553743	169.98885	57.959816	280.5612	24.90698	1.6467505	3.7585213	27.015638	-13.470952	-170.57494	14.245025	893.3262038230896
13	4435.683	46.78206	4515.743	4397.219	4984.376	138.30237	5217.012	4769.4263	1000.0	1000.0	51999	191.27036	63.584694	300.67938	24.01194	191.27003	63.583626	301.48627	24.112387	1.9187856	3.7683902	30.00758	-13.854408	-191.82419	15.393126	972.412757396698
