Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-46.51467	57.294685	1.9589857	-314.3326	-189.09372	92.93901	-6.5796347	-314.537	136.7931	903.2	3999	6.4578495	5.7718434	40.809532	-13.523412	6.457369	5.7668047	41.136246	-13.645669	-3.334162	2.4542513	13.008159	-13.571297	-7.9185224	1.86391	148.1034095287323
2	-51.497448	90.03525	13.252178	-349.95825	-133.07382	310.6414	9.219419	-1061.025	155.64	128.1	7999	30.899977	11.871895	80.78615	-12.397497	30.898834	11.865151	80.27315	-22.066486	0.40400422	3.5253754	25.437115	-14.85181	-33.48925	7.9125648	330.8100485801697
3	-90.12121	190.1682	-4.812233	-811.2906	-11.964418	64.07193	86.50416	-138.32123	162.68	262.6	11999	62.986607	11.270585	108.466736	-39.162766	62.98596	11.25055	108.468765	-31.057938	1.0925579	4.114185	30.02942	-15.823656	-65.507095	17.380562	511.90768551826477
4	-78.504234	158.40842	66.769165	-548.396	579.61163	332.9527	892.12836	93.90162	271.53333	753.0	15999	66.37537	10.171952	105.918434	-36.350964	66.37366	10.170548	109.13581	-43.61119	-1.7084751	2.7333026	31.35123	-15.147651	-67.47253	15.050705	704.6372134685516
5	-38.81715	84.23781	53.150444	-170.07195	574.1211	253.45097	784.6305	79.49074	529.5714	798.4	19999	58.785976	9.961557	102.4479	-27.650314	58.78432	9.962815	102.621994	-36.994335	-2.3577707	2.3392699	21.831203	-15.261314	-59.651634	11.771691	900.062623500824
6	-13.483379	39.915913	68.398834	-78.31762	716.2009	110.742134	900.9919	488.83078	300.27274	1000.0	23999	52.82882	9.379599	96.47614	-48.642513	52.828114	9.369515	96.52529	-29.36642	-2.6779222	2.1402683	21.40848	-16.084375	-53.594078	9.599076	1103.4368731975555
7	17.812523	69.98657	174.32498	-58.203228	849.72473	68.19034	959.072	692.8321	450.27274	974.8	27999	48.59282	9.057011	86.433044	-38.589813	48.59114	9.054863	87.86962	-36.33592	-2.849053	2.0213504	25.091946	-15.227234	-49.311726	8.106529	1306.625259399414
8	58.724422	115.216354	275.68863	-95.10768	785.1832	64.97764	938.2348	708.2136	490.5	1000.0	31999	46.20611	8.996304	83.07337	-35.945152	46.20514	8.990187	82.85564	-24.892664	-2.8481283	1.9684289	23.268108	-15.875338	-46.914165	7.999348	1509.6640384197235
9	35.877003	32.054195	107.8169	3.6693285	763.927	85.61863	905.3862	555.497	420.1111	1000.0	35999	44.90189	8.93903	79.52899	-29.535604	44.901184	8.92933	79.20418	-45.72389	-2.886003	1.9586624	25.819983	-14.625282	-45.59866	7.5387855	1710.0187323093414
10	76.70452	70.66364	189.81975	-24.956778	813.24786	26.880186	847.9877	777.1692	655.1667	1000.0	39999	44.216145	8.838739	77.84924	-31.216059	44.21518	8.832228	77.98871	-24.375967	-2.9546106	1.9421916	21.832966	-14.752886	-44.904613	6.418574	1910.3973760604858
