Epoch	AverageTestEnv0Ret	StdTestEnv0Ret	MaxTestEnv0Ret	MinTestEnv0Ret	AverageEnv0Ret	StdEnv0Ret	MaxEnv0Ret	MinEnv0Ret	AverageTestEnv1Ret	StdTestEnv1Ret	MaxTestEnv1Ret	MinTestEnv1Ret	AverageEnv1Ret	StdEnv1Ret	MaxEnv1Ret	MinEnv1Ret	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	196.90897	140.50038	428.4392	-114.992645	-313.27115	21.354158	-291.44604	-345.6741	-110.54952	23.83731	-72.20194	-158.37926	-337.33618	58.529156	-242.54416	-390.55685	-650.60736	51.723812	-561.5211	-687.5444	86.35944	132.41228	321.48273	-187.1946	1000.0	1000.0	3999	10.3543825	6.9382915	40.41505	-5.518208	10.354286	6.9373407	38.967903	-5.5711603	-6.878873	2.697999	11.488205	-18.364296	-12.638615	1.3671422	195.05539536476135
2	-1768.6686	426.21088	-1252.8959	-2293.8315	-332.8191	34.077553	-281.88867	-377.9147	-624.1178	192.26228	-273.74164	-923.8346	-261.06842	68.06046	-177.52487	-358.64468	-593.8875	71.25021	-504.87793	-694.9172	-2392.7866	479.7992	-1905.3074	-3135.866	1000.0	1000.0	7999	42.729416	15.357952	112.72506	0.8095404	42.729805	15.358474	112.56879	1.2930886	-1.2305748	5.0030155	32.393883	-20.940067	-46.34352	5.708716	440.91102623939514
3	-494.66327	104.42572	-243.44841	-629.36206	-766.63135	430.72766	-343.96262	-1320.2137	-141.9993	94.04168	-38.88725	-362.2767	-324.10254	42.695595	-254.1426	-366.1905	-1090.7339	465.52307	-598.1052	-1686.4042	-636.66254	183.55586	-282.33566	-991.6388	1000.0	1000.0	11999	105.25177	21.134798	194.65732	47.751587	105.25024	21.134224	193.5039	47.22559	4.008334	6.5263257	43.77955	-19.098152	-110.12866	17.097103	687.1696352958679
4	346.1327	106.93499	559.4368	164.4328	-885.1112	115.94764	-695.1311	-995.5348	-88.62342	72.97547	84.07787	-163.63805	-228.44403	55.34924	-170.7218	-307.95007	-1113.5553	149.9813	-865.8529	-1266.9349	257.50928	96.0199	489.02994	140.60883	1000.0	1000.0	15999	125.73201	25.20057	203.88881	52.939575	125.73178	25.199728	207.65631	52.746944	-2.399411	4.8382497	34.135117	-20.325748	-127.59509	18.93774	938.6334049701691
5	473.45108	69.01254	577.82367	373.39362	-493.32733	66.50694	-431.3273	-603.9315	190.1569	96.385635	342.24847	32.158875	-48.68849	90.14656	8.843481	-204.40714	-542.0158	154.98471	-422.4838	-808.3387	663.608	158.39574	920.07214	424.42538	1000.0	1000.0	19999	115.47082	27.376543	192.02014	41.007626	115.46995	27.37435	191.769	41.3037	-5.775256	3.114938	22.215582	-19.290003	-116.69164	13.132551	1190.92267537117
6	833.4535	10.169478	854.9286	812.16296	-343.87628	53.745728	-251.7	-382.15265	-44.12425	15.170712	-8.142974	-65.6843	21.30418	58.84041	116.23958	-42.802532	-322.5721	111.38679	-135.46042	-422.0033	789.3292	23.013063	846.78564	757.1318	1000.0	1000.0	23999	105.02878	23.741844	168.9884	33.557873	105.02858	23.741222	171.16629	31.803743	-6.5591087	2.625235	22.290634	-20.178318	-106.249954	9.699871	1444.5842180252075
7	932.7414	5.856534	940.9923	922.40106	-263.1992	28.551632	-228.72794	-304.48453	-25.061306	6.725669	-15.768068	-33.828217	134.11151	112.31609	233.45676	-56.473843	-129.08769	90.30386	-71.02779	-285.20178	907.68005	8.335979	924.9107	895.9755	1000.0	1000.0	27999	98.06423	21.258593	156.15045	26.680916	98.06355	21.258745	154.74237	26.545599	-6.814206	2.4608176	16.197548	-19.129936	-99.31581	8.472379	1692.6282017230988
8	696.5472	17.207798	746.9217	684.3037	-292.37732	17.390568	-269.08215	-316.9981	329.65656	153.48123	393.39175	-129.98065	-0.26317978	118.613	151.85126	-176.881	-292.6405	129.98485	-117.23091	-474.07275	1026.2039	136.60799	1084.6173	616.94104	1000.0	1000.0	31999	93.17133	20.186932	147.95108	23.68424	93.17098	20.186138	148.2124	23.530087	-6.89198	2.3834424	14.935471	-19.37537	-94.446594	8.01751	1941.3468160629272
9	853.2453	2.8631108	856.9954	847.52234	-153.68944	47.037415	-94.46086	-226.13206	182.5214	5.3242736	191.72652	175.80717	254.7008	87.18738	400.1534	175.5018	101.01137	106.52307	251.22595	-24.342407	1035.7668	5.424855	1043.9568	1028.6355	1000.0	1000.0	35999	89.6602	20.255358	143.75633	16.232466	89.65994	20.254559	142.91376	16.662134	-6.93651	2.3266149	15.454498	-19.895826	-90.93337	7.7896924	2185.955912590027
10	781.75305	21.311033	812.71484	746.5385	-99.74633	67.66195	16.146534	-154.5357	1057.4861	56.94343	1181.8712	966.2464	503.70245	143.52734	660.1109	285.36115	403.95612	148.4243	532.3335	152.54234	1839.239	57.17206	1936.4982	1712.7849	1000.0	1000.0	39999	89.51691	20.002743	145.9466	18.214804	89.51638	20.000965	147.10262	18.817095	-6.7926745	2.4176009	18.498484	-19.733345	-90.80187	8.0971365	2426.408630847931
