Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-298.65842	52.058308	-225.55905	-361.60144	-40.188255	25.790918	10.989128	-83.01644	1000.0	1000.0	3999	4.2694516	2.9275901	19.033447	-3.3887823	4.270241	2.9266186	18.897303	-3.278954	-3.1468844	1.4790634	10.495388	-11.82699	-5.138127	0.7472377	131.05636024475098
2	-240.4234	34.981014	-191.1235	-277.95883	-18.230898	124.632256	86.93814	-336.4075	1000.0	1000.0	7999	14.797261	6.0048923	42.50491	-4.2155185	14.796884	6.0026565	43.183605	-2.9318397	-1.6664441	2.580777	17.504023	-13.527023	-15.960918	1.833021	302.36239218711853
3	-254.21191	41.889145	-189.92982	-294.1243	-127.02659	72.989525	48.668884	-228.01746	1000.0	1000.0	11999	28.902063	9.881359	61.02728	10.073969	28.902023	9.880221	60.497463	10.007991	-1.288829	2.9277828	18.543282	-13.425704	-30.064556	2.645488	473.30951595306396
4	238.45421	234.26088	475.9963	-13.984883	372.91818	353.29022	1264.998	-92.8982	1000.0	1000.0	15999	34.67433	12.138113	68.56094	8.899961	34.674316	12.136467	68.59512	9.640841	-2.6066406	1.9836705	18.612513	-12.994527	-35.336735	2.6448834	646.2208986282349
5	207.3378	172.96341	485.78915	38.910034	1167.4451	644.15936	2266.3237	63.532593	1000.0	1000.0	19999	38.402645	12.822041	75.60409	13.892012	38.40261	12.820008	77.02604	13.492779	-2.6517568	1.8765663	11.866252	-12.22481	-39.00642	2.5627623	819.674302816391
6	501.2726	409.27588	912.4827	25.737202	1319.4497	965.5722	2725.7944	203.47005	1000.0	1000.0	23999	42.48536	15.148256	93.79692	17.707933	42.48544	15.146625	94.52211	15.409365	-2.3691237	2.1743429	14.338954	-13.523073	-43.126976	2.9943092	991.9973015785217
7	1314.9479	625.06866	2029.6803	401.41425	2491.4695	27.750988	2538.443	2458.3054	1000.0	1000.0	27999	48.7158	19.30848	110.74949	21.604004	48.715874	19.30599	113.225716	20.39231	-2.075474	2.4468133	17.448301	-14.907415	-49.38467	3.575583	1158.9790108203888
8	1671.3245	788.4786	2493.093	669.918	2791.7288	92.13839	2895.529	2598.252	1000.0	1000.0	31999	59.32282	25.82831	135.13173	23.887318	59.32309	25.826542	136.35373	25.450342	-1.6127089	2.7810247	18.600445	-16.15153	-59.99017	4.5729094	1325.952270269394
9	2567.9045	180.50769	2859.4138	2384.808	3361.271	121.80882	3521.355	3213.7434	1000.0	1000.0	35999	73.349525	34.091396	167.48207	26.937958	73.34976	34.08904	167.4477	26.9875	-0.9685747	3.1965132	21.593122	-13.48412	-74.02148	6.8526535	1492.256425857544
10	2873.5715	345.29007	3367.8564	2411.5388	3828.6653	45.813885	3890.9744	3734.2637	1000.0	1000.0	39999	89.36051	42.644188	191.7147	28.645887	89.36069	42.641205	191.16814	29.737846	-0.5008432	3.4334056	26.44757	-13.499038	-90.0102	10.146896	1661.9753410816193
11	3330.8718	113.632706	3487.2795	3166.9192	4101.4	18.733871	4137.2207	4076.2188	1000.0	1000.0	43999	107.24202	51.713234	223.15225	32.25056	107.24192	51.70972	221.33466	32.312496	-0.09139656	3.6407762	24.031435	-15.907111	-107.90778	12.952743	1831.6128115653992
12	3865.6992	77.297104	3986.129	3784.9456	4861.8623	90.07321	4995.814	4720.251	1000.0	1000.0	47999	127.38729	61.02735	246.50627	26.482412	127.38767	61.02478	248.88779	28.865042	0.33220255	3.8385923	27.499668	-13.152479	-128.06737	14.373789	2001.696072101593
13	4027.3381	132.18457	4178.5835	3825.239	4436.872	39.57038	4495.768	4371.8564	1000.0	1000.0	51999	147.9874	70.23674	273.88318	25.564928	147.98724	70.235245	273.12012	26.519056	0.7121452	3.9996605	31.84328	-14.0593195	-148.64131	16.070925	2171.61820435524
14	3911.671	590.4024	4450.371	2952.8735	5046.758	60.50138	5180.5415	4982.35	1000.0	1000.0	55999	167.33408	78.07272	304.2507	19.446743	167.33372	78.07101	308.21738	20.124767	0.9706161	4.063583	27.154444	-16.037046	-167.94386	18.1927	2343.5715668201447
15	4088.7793	846.4939	4696.7544	2632.0845	5269.1045	67.611725	5355.953	5155.0845	1000.0	1000.0	59999	184.85458	85.87662	323.61435	15.410463	184.85403	85.87486	324.23804	14.708899	1.1771817	4.13938	30.362005	-17.538895	-185.44662	19.857344	2515.3150305747986
16	4791.3022	141.06134	4974.2456	4577.6377	5689.808	73.815445	5809.1816	5551.4604	1000.0	1000.0	63999	203.37251	92.667656	345.50513	7.9471326	203.37238	92.66622	341.83087	8.285986	1.394199	4.184537	29.558254	-14.392435	-203.92464	20.209724	2688.947409391403
17	4555.5386	768.62225	5089.9595	3234.4626	5366.444	108.12441	5534.0127	5183.7573	1000.0	1000.0	67999	221.27348	99.136536	364.60822	-2.2387123	221.27318	99.13453	364.76572	4.5212965	1.6787869	4.2747974	29.66404	-13.569271	-221.8219	21.200937	2869.036083459854
18	5082.229	164.40547	5333.3555	4916.8496	5852.8794	108.63586	6010.5034	5683.0933	1000.0	1000.0	71999	238.7841	105.30612	384.6455	-3.2453458	238.78386	105.30457	384.73044	0.73222625	1.8735362	4.3421807	30.507214	-14.833666	-239.31078	23.174744	3061.3057708740234
19	5247.081	176.79948	5438.192	4998.021	4869.9395	44.524014	4935.1504	4767.155	1000.0	1000.0	75999	255.0691	110.344925	406.28552	1.6823279	255.06866	110.34346	407.10367	11.613571	2.016258	4.3500953	31.506638	-13.92241	-255.55544	24.102089	3260.358009338379
20	4625.522	1552.7721	5779.873	1950.5146	4853.0254	1092.7908	5737.9043	2210.2786	1000.0	1000.0	79999	269.1252	115.519844	424.7759	8.674572	269.12506	115.51857	425.124	12.348041	2.1995807	4.372828	32.96029	-13.703688	-269.60358	26.560186	3459.824172258377
21	3497.1482	2002.2432	5567.4883	1343.173	5884.019	73.41987	6007.4663	5807.926	1000.0	1000.0	83999	282.08463	120.96162	443.5799	7.6731653	282.08463	120.95999	440.03052	6.787891	2.3237224	4.4371824	40.689102	-14.561694	-282.54218	29.255508	3649.251097202301
22	4238.136	2070.857	5798.7056	674.13214	5837.1147	186.30312	6020.909	5334.6396	1000.0	1000.0	87999	291.65973	127.207596	456.64636	7.6535563	291.65936	127.205894	457.12457	0.4996636	2.5166395	4.5656447	43.31221	-11.561145	-292.1032	34.026093	3840.7735147476196
23	4552.663	2332.896	6233.41	528.0606	6579.6094	83.512115	6734.0923	6452.2173	1000.0	1000.0	91999	300.80338	132.56499	472.47214	3.8721144	300.80313	132.56302	470.80115	6.0381126	2.4723535	4.5474744	38.944115	-16.512276	-301.21964	38.08634	4045.2708718776703
24	5970.7373	172.3887	6148.636	5797.1895	6698.8096	173.35306	6963.7944	6342.134	1000.0	1000.0	95999	310.5902	136.2345	483.4554	1.889729	310.58972	136.23245	479.8165	9.302673	2.4772768	4.54734	42.18902	-15.932579	-310.95755	38.381763	4289.074487447739
25	6066.9604	51.305256	6121.968	5982.939	5776.753	105.37817	5953.581	5588.925	1000.0	1000.0	99999	322.12177	139.2235	493.92282	-5.107033	322.12177	139.22151	493.64816	9.046904	2.688172	4.57413	38.37593	-13.311989	-322.4973	35.339344	4532.567156076431
26	6040.067	232.17882	6378.775	5738.665	6572.565	123.371666	6844.341	6415.709	1000.0	1000.0	103999	334.16013	141.62468	508.53122	6.6288958	334.1602	141.6236	506.71558	10.055336	2.848331	4.5674624	53.45983	-16.154987	-334.5222	37.93677	4748.944435834885
27	6338.294	184.41293	6657.3027	6220.0903	7155.257	119.31506	7364.4463	6945.8145	1000.0	1000.0	107999	345.70093	144.02692	519.52496	15.310356	345.7013	144.02483	518.87756	21.103456	2.8847563	4.5227833	38.766	-13.859634	-346.0355	35.052517	4956.298353672028
28	6459.082	40.631035	6495.7295	6390.621	7558.918	121.15005	7718.8213	7320.352	1000.0	1000.0	111999	357.27072	146.25342	534.8806	-13.758885	357.2703	146.25267	535.35266	6.097555	3.081942	4.593714	40.686584	-15.131817	-357.58344	37.65069	5165.638534069061
29	6610.7563	131.05214	6771.2915	6456.293	7223.35	107.50674	7402.9155	7083.863	1000.0	1000.0	115999	369.36163	148.36893	547.8695	-3.9068182	369.36148	148.36784	544.5603	2.3674762	3.2311876	4.6183276	41.553806	-12.797568	-369.69995	37.35687	5366.033396244049
30	6691.4277	303.81937	6983.5264	6203.394	7695.3545	105.072136	7917.638	7517.154	1000.0	1000.0	119999	380.3683	150.57912	555.41565	-8.587812	380.36807	150.5773	557.59515	-1.3791482	3.2742624	4.5604024	38.356674	-16.236786	-380.69733	37.499805	5564.86203956604
31	6782.4243	148.43791	6950.7476	6591.1562	7611.9033	72.05422	7740.679	7533.327	1000.0	1000.0	123999	391.3592	152.98103	571.6221	-5.012106	391.35867	152.98056	572.5876	10.878681	3.3977141	4.576459	40.915657	-13.028154	-391.67807	37.1381	5762.758806943893
32	6973.2935	219.67873	7245.2925	6690.387	7602.889	102.117744	7822.7134	7461.557	1000.0	1000.0	127999	402.67325	155.02266	583.3565	8.337452	402.67307	155.02141	584.9108	13.756393	3.5416274	4.581047	42.78983	-13.204894	-402.981	36.90615	5951.644750833511
33	7082.401	109.23875	7197.542	6943.9185	7262.057	209.22513	7582.2993	6958.0825	1000.0	1000.0	131999	413.4614	157.36502	595.8688	5.769527	413.46103	157.36494	598.4977	5.377577	3.656851	4.5847993	44.383644	-11.656597	-413.7812	38.7801	6139.180078983307
34	7325.881	105.74002	7450.6445	7157.8906	7604.0127	94.65584	7765.7056	7435.1636	1000.0	1000.0	135999	424.8084	159.14983	614.02264	9.637339	424.8083	159.1488	610.302	5.9343457	3.7749288	4.585905	43.328766	-13.277138	-425.11127	39.061687	6326.676447868347
35	6957.8955	631.9012	7525.0713	5886.489	7721.702	131.1656	8012.364	7524.378	1000.0	1000.0	139999	434.41193	161.192	618.46436	-18.99616	434.41135	161.19196	618.8793	-3.682565	3.7977288	4.5848017	43.7583	-12.722873	-434.66876	40.220726	6525.3493576049805
36	7275.165	249.9741	7595.8364	6941.616	7418.659	1957.9479	8204.145	1554.5356	1000.0	1000.0	143999	444.09357	162.77632	633.99274	-4.677255	444.09372	162.77585	638.60614	-23.321135	3.9089923	4.599329	44.12065	-14.231748	-444.3463	41.63692	6735.781967878342
37	7579.6484	135.46829	7745.928	7423.466	8144.7373	74.55687	8251.965	7995.1914	1000.0	1000.0	147999	453.2274	164.03642	642.3135	-42.25848	453.22708	164.03552	645.1616	-20.325455	3.939752	4.522983	40.60749	-12.517856	-453.4592	40.06598	6947.94384932518
38	7659.956	122.71146	7789.842	7458.0786	8042.345	114.36479	8328.115	7915.038	1000.0	1000.0	151999	462.10123	165.26587	651.0603	-10.749565	462.1006	165.26602	651.5167	-8.325874	4.094903	4.5750875	41.167084	-13.637576	-462.30487	41.62807	7154.49239563942
39	7512.5176	142.1816	7747.3945	7371.93	8090.583	118.83973	8340.311	7942.228	1000.0	1000.0	155999	470.4494	166.75824	659.9801	-19.775452	470.45007	166.75742	660.4044	-21.601374	4.1947064	4.5931025	44.70786	-12.770187	-470.65274	42.492954	7358.078383207321
40	7503.731	217.57596	7682.8945	7131.452	8243.777	117.18064	8413.107	8039.7275	1000.0	1000.0	159999	477.922	168.03455	664.32355	-6.7566814	477.9214	168.0342	665.17664	-10.2207365	4.2051883	4.5544114	46.71943	-12.653517	-478.10962	43.753094	7561.176190137863
41	7803.8193	61.78535	7877.653	7707.8228	7988.9116	282.01913	8279.514	7382.8027	1000.0	1000.0	163999	486.0972	168.206	672.10736	6.553873	486.09705	168.20407	672.01056	9.609934	4.2269654	4.5143437	41.012867	-12.40697	-486.2584	43.243923	7771.519530296326
42	7761.5557	194.7393	8010.6304	7569.729	8666.378	154.26355	8861.534	8394.632	1000.0	1000.0	167999	494.15677	168.99867	687.88855	4.1471014	494.1559	168.99915	686.53436	3.7043214	4.2635684	4.5183477	51.73395	-11.52653	-494.30185	45.11333	7969.218070030212
43	7947.964	127.53979	8115.253	7768.353	8588.395	77.84756	8701.796	8407.211	1000.0	1000.0	171999	501.25983	169.7558	690.197	-33.9329	501.2604	169.7549	689.81396	-4.2513294	4.4108357	4.5605903	56.11336	-11.7395735	-501.39264	46.388363	8161.894286870956
44	8092.222	97.44513	8227.071	7961.2935	8783.798	135.43985	8955.41	8457.98	1000.0	1000.0	175999	507.54935	170.83638	693.9012	-3.3610303	507.54916	170.83524	695.666	-2.5399218	4.374576	4.5455036	45.27986	-11.690918	-507.63876	45.178772	8354.755245923996
45	8089.9062	153.88968	8191.5024	7823.7837	8242.279	204.8642	8729.363	7946.4814	1000.0	1000.0	179999	514.8436	171.42729	707.94946	-8.580423	514.8434	171.42664	708.05383	-13.429398	4.432006	4.5591183	51.026398	-13.580922	-514.9494	44.776688	8547.795588254929
46	8023.0156	73.3683	8101.939	7909.986	8631.455	100.53071	8743.287	8398.776	1000.0	1000.0	183999	522.2906	171.60556	716.8078	-1.7769301	522.2906	171.6048	717.55444	-13.200531	4.5021772	4.593952	51.4224	-12.831253	-522.3692	47.577457	8741.924404382706
47	8103.291	133.81693	8246.613	7913.3223	8680.764	186.02635	8957.741	8467.798	1000.0	1000.0	187999	528.56055	172.67174	727.04675	8.426739	528.5602	172.67107	725.8669	7.740785	4.6336946	4.5971255	64.09622	-13.909865	-528.68054	46.945244	8935.272983551025
48	8271.975	178.74995	8566.864	8105.156	8955.434	124.54851	9132.632	8712.848	1000.0	1000.0	191999	535.6009	173.03467	734.96	-1.7253373	535.6011	173.03328	733.80255	3.7109137	4.5722556	4.513664	38.77579	-13.443697	-535.6426	47.991608	9142.580230474472
49	8393.05	58.020218	8464.276	8330.223	8647.237	153.75891	8803.012	8230.887	1000.0	1000.0	195999	542.2733	173.67691	740.00977	12.102573	542.2727	173.67659	740.9796	5.4853086	4.653233	4.537197	57.553833	-13.07252	-542.33765	48.47937	9357.28191447258
50	8505.474	159.59868	8764.848	8329.922	8803.697	106.480225	8973.725	8634.185	1000.0	1000.0	199999	549.33514	174.49088	744.7536	23.03014	549.33514	174.48866	744.6157	23.32378	4.715916	4.569073	56.694466	-12.076139	-549.395	49.135227	9573.003644704819
51	8412.744	240.32687	8720.263	8074.054	8898.161	76.738945	9066.274	8777.241	1000.0	1000.0	203999	555.6674	175.40344	749.97955	8.649456	555.66675	175.40262	747.766	17.669668	4.7754235	4.534825	48.76077	-12.885505	-555.71783	49.667	9774.132959604263
52	8541.22	115.881195	8673.309	8389.349	8827.164	125.565956	9075.878	8694.107	1000.0	1000.0	207999	562.5278	175.63509	759.5588	-1.9057071	562.5276	175.63367	758.73334	3.6458387	4.798106	4.545749	42.891838	-12.621194	-562.55536	52.12618	9970.003764629364
53	8646.996	94.06932	8784.074	8524.674	9163.454	116.016785	9314.302	8967.091	1000.0	1000.0	211999	568.8194	176.53722	770.23114	-6.1103086	568.8192	176.53726	769.5421	-19.174889	4.9010077	4.60083	63.038498	-12.198698	-568.8724	50.89429	10166.631548643112
54	8874.549	184.21127	9105.186	8617.766	8977.08	143.68457	9252.217	8738.455	1000.0	1000.0	215999	575.3356	177.43628	772.86395	-11.739513	575.3355	177.43541	770.2779	-4.2208414	4.893633	4.582215	53.371475	-13.345808	-575.40314	51.454453	10372.91082572937
55	8829.191	178.58992	9103.633	8621.284	9109.092	147.97188	9342.375	8862.972	1000.0	1000.0	219999	582.23914	178.12392	781.12006	0.3785391	582.23895	178.1235	778.65137	-2.2352998	4.97243	4.5869684	55.78947	-13.270104	-582.3131	52.0456	10583.929477930069
56	8520.014	660.0976	9201.748	7430.3936	9443.652	191.73135	9704.026	9114.192	1000.0	1000.0	223999	588.72906	179.55423	791.6194	-0.43457556	588.72894	179.55438	787.3169	13.51123	4.976849	4.56095	54.177856	-12.309048	-588.7803	54.313774	10793.732981681824
57	8876.934	236.06245	9145.89	8498.197	9535.189	166.16612	9786.311	9174.704	1000.0	1000.0	227999	594.1241	181.2894	794.08655	-20.252068	594.1237	181.28833	796.95166	-34.077007	5.0886574	4.616458	69.919	-11.599301	-594.164	58.60489	11005.129073381424
58	8938.59	160.22606	9120.1045	8727.885	8571.608	2498.091	9673.789	1100.0693	1000.0	1000.0	231999	600.0689	182.48865	803.8644	-13.610622	600.0694	182.4887	799.96954	-16.746174	5.109751	4.594284	62.504253	-12.8425865	-600.10626	58.294884	11215.762819051743
59	8964.247	141.6622	9163.62	8765.078	9337.115	152.06357	9525.771	9066.9795	1000.0	1000.0	235999	606.39874	182.81056	808.10956	-22.303263	606.3985	182.80966	812.3658	-27.596407	5.193456	4.6451325	62.902153	-11.307142	-606.458	59.39928	11423.972997188568
