Epoch	AverageTestEnv0Ret	StdTestEnv0Ret	MaxTestEnv0Ret	MinTestEnv0Ret	AverageEnv0Ret	StdEnv0Ret	MaxEnv0Ret	MinEnv0Ret	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-154.36926	1.4225852	-151.88066	-155.88626	-296.9983	104.689674	-133.90817	-416.97058	-296.9983	104.689674	-133.90817	-416.97058	-154.36926	1.4225852	-151.88066	-155.88626	1000.0	1000.0	3999	4.041092	3.142024	19.749084	-3.9326525	4.042111	3.1420565	19.611258	-3.2202055	-3.0854397	1.45409	7.5316644	-11.127655	1.904307	0.8774291	135.68751549720764
2	-143.83157	1.3046358	-141.25731	-145.65784	-294.057	20.828972	-263.23044	-321.98898	-294.057	20.828972	-263.23044	-321.98898	-143.83157	1.3046358	-141.25731	-145.65784	1000.0	1000.0	7999	15.025247	5.455695	36.391922	-3.2518632	15.023963	5.463447	36.305492	-2.6900249	-1.4211887	2.192746	11.689898	-13.483257	6.218281	2.7809312	298.30945682525635
3	24.601583	5.464183	31.162008	16.469841	-115.225624	73.455765	-6.613383	-213.80736	-115.225624	73.455765	-6.613383	-213.80736	24.601583	5.464183	31.162008	16.469841	1000.0	1000.0	11999	25.022045	5.371637	50.015873	7.8760567	25.02252	5.3757644	49.08451	7.7119784	-2.0183933	2.2463334	13.929193	-12.265242	9.9744835	3.3868287	463.7674479484558
4	-102.52683	2.599868	-98.29838	-107.55646	-121.11137	55.25101	-48.23654	-178.18129	-121.11137	55.25101	-48.23654	-178.18129	-102.52683	2.599868	-98.29838	-107.55646	1000.0	1000.0	15999	31.241865	5.906938	56.485657	14.965083	31.242077	5.911288	56.00069	15.203425	-2.2568226	2.3341177	14.17214	-14.3863	12.395694	3.4869022	632.7843291759491
5	-43.607727	2.1667898	-40.244644	-46.08508	-106.61262	25.79797	-91.44749	-151.29279	-106.61262	25.79797	-91.44749	-151.29279	-43.607727	2.1667898	-40.244644	-46.08508	1000.0	1000.0	19999	37.154926	6.4469085	65.50402	19.074793	37.15487	6.449639	65.41406	19.330189	-1.9604805	2.5258415	13.91516	-12.10856	14.66033	3.7154408	816.6830351352692
6	-16.407393	3.5531564	-10.404591	-22.118082	-107.00923	40.39356	-55.320297	-156.34885	-107.00923	40.39356	-55.320297	-156.34885	-16.407393	3.5531564	-10.404591	-22.118082	1000.0	1000.0	23999	43.627506	7.0603285	76.06148	22.890602	43.627644	7.0609007	73.24979	23.343653	-1.656081	2.7132013	15.155891	-12.5453205	17.25757	3.926541	1005.0990083217621
7	69.624275	53.16142	114.12987	-82.21566	-170.44586	51.60343	-100.81149	-241.15538	-170.44586	51.60343	-100.81149	-241.15538	69.624275	53.16142	114.12987	-82.21566	1000.0	1000.0	27999	50.649647	8.184978	85.51803	24.797087	50.649513	8.186322	84.945595	25.594677	-1.2767322	2.91585	14.479691	-13.9999075	19.771378	4.343732	1193.5546147823334
8	55.04903	11.780083	76.40781	33.87268	-126.13638	69.11438	-15.006566	-189.26338	-126.13638	69.11438	-15.006566	-189.26338	55.04903	11.780083	76.40781	33.87268	1000.0	1000.0	31999	58.483295	9.885795	149.67682	26.651844	58.48304	9.887784	140.52768	27.918976	-0.83804953	3.1690013	48.651814	-14.526381	22.540926	4.9889026	1376.5240802764893
9	-252.61223	13.692329	-224.89458	-274.68863	-181.16676	15.952721	-159.27046	-204.26993	-181.16676	15.952721	-159.27046	-204.26993	-252.61223	13.692329	-224.89458	-274.68863	1000.0	1000.0	35999	66.604904	12.434518	147.37662	27.23456	66.60461	12.437096	143.62126	28.023075	-0.6719942	3.1205902	29.745447	-13.76216	25.26825	4.811952	1556.1422593593597
10	-184.43625	18.295065	-153.96767	-213.38698	-248.17365	28.025267	-221.72702	-288.48727	-248.17365	28.025267	-221.72702	-288.48727	-184.43625	18.295065	-153.96767	-213.38698	1000.0	1000.0	39999	74.31187	13.137138	132.22353	27.428553	74.31166	13.140067	131.73769	28.567465	-0.46289867	3.0562117	22.44708	-13.057533	27.734737	4.4249363	1736.1934351921082
