Epoch	AverageTestEnv0Ret	StdTestEnv0Ret	MaxTestEnv0Ret	MinTestEnv0Ret	AverageEnv0Ret	StdEnv0Ret	MaxEnv0Ret	MinEnv0Ret	AverageTestEnv1Ret	StdTestEnv1Ret	MaxTestEnv1Ret	MinTestEnv1Ret	AverageEnv1Ret	StdEnv1Ret	MaxEnv1Ret	MinEnv1Ret	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-298.13333	111.991516	-61.872177	-421.84802	-371.92795	36.692818	-329.44525	-425.75723	-163.20267	78.74292	-63.11476	-340.90323	-350.9192	83.828606	-235.90082	-461.25604	-722.84717	92.81388	-584.567	-845.09924	-461.336	179.25526	-143.18358	-739.89264	1000.0	1000.0	3999	9.757073	6.2931614	34.632034	-0.33616582	9.72329	6.359802	33.86457	-10.871382	-7.087351	2.7189329	12.778646	-17.508091	-15.626646	1.4355619	192.9367115497589
2	-1238.948	44.765957	-1171.0336	-1332.3021	-332.87872	32.683556	-307.67773	-387.6944	-393.7818	95.6299	-223.73569	-519.64777	-279.75064	102.97055	-158.88568	-413.12936	-612.62933	124.783936	-466.56342	-741.06213	-1632.7297	61.933243	-1523.7579	-1727.1519	1000.0	1000.0	7999	42.634827	15.83819	97.12304	-0.33327612	42.63264	15.846052	98.02257	-11.019237	0.17313041	5.134815	31.84071	-18.98951	-90.2179	5.1706967	442.38034105300903
3	-688.3346	220.15465	-423.67392	-994.2084	-704.187	334.14273	-294.2814	-1035.7715	-327.94003	41.813015	-222.92159	-378.7233	-311.15637	60.10219	-219.46837	-381.67523	-1015.3434	389.97037	-513.74976	-1417.4468	-1016.2746	221.6047	-646.5955	-1307.1698	1000.0	1000.0	11999	104.24038	19.590277	159.93533	38.138443	104.24069	19.59204	162.6282	36.858658	4.4928737	5.6822324	39.37461	-18.650562	-217.19167	13.967639	705.6838819980621
4	335.72028	100.31778	442.92612	144.37454	-752.9812	171.58316	-510.93427	-959.9994	126.39464	142.22435	314.3535	-95.49597	-274.2882	60.33361	-192.92119	-363.23346	-1027.2694	213.19522	-781.35065	-1323.2328	462.1149	148.06796	662.97565	206.46542	1000.0	1000.0	15999	119.82214	23.073042	171.82597	42.20993	119.82313	23.07366	170.11748	42.84232	-4.0437346	4.3059125	32.49173	-20.32176	-242.85959	15.194198	1010.9133915901184
5	612.6608	69.13014	790.2951	566.0381	-495.53934	80.32508	-360.97665	-572.3923	8.617243	41.42698	85.423935	-48.627472	-253.01984	57.109188	-190.3902	-341.21365	-748.5592	93.13051	-623.78046	-873.66327	621.27814	61.374226	741.66766	551.9474	1000.0	1000.0	19999	106.893	23.862026	160.1349	38.81247	106.89427	23.86342	159.32776	37.82495	-6.730292	2.6506925	14.030305	-19.444565	-216.27396	10.521553	1315.9850931167603
6	541.5921	47.64007	625.29614	480.97955	-355.47256	64.7764	-284.48148	-457.66797	-17.25751	7.1822762	-6.7870936	-26.93365	-129.62347	79.1815	-45.262604	-259.11972	-485.09607	111.18617	-329.74408	-619.1574	524.33466	48.501625	601.59174	454.15848	1000.0	1000.0	23999	96.85587	20.660059	144.67009	34.325302	96.85642	20.662758	146.57506	35.43768	-7.3594775	2.2147112	17.155552	-18.98491	-196.2375	8.216189	1617.820460319519
7	826.01044	47.107132	883.9847	718.8492	-205.67201	96.66137	-87.31478	-355.7867	19.492384	59.37511	154.62802	-36.363438	-79.50807	26.233648	-49.868374	-121.79186	-285.18008	102.84702	-137.18315	-427.17685	845.5028	50.684654	932.9366	729.7453	1000.0	1000.0	27999	89.23098	18.605022	132.25273	32.980446	89.23166	18.607597	132.10768	34.414963	-7.448577	2.1040533	11.524705	-19.968307	-181.09644	7.2018743	1945.2728252410889
8	518.17645	58.476128	607.18585	445.33682	-98.585495	56.329453	-34.434967	-169.97313	34.96565	47.22502	105.58552	-14.687664	-84.02317	82.42282	24.029037	-187.78825	-182.60867	109.38142	-72.00939	-357.76138	553.14215	50.76873	603.909	442.50052	1000.0	1000.0	31999	85.23927	17.040247	123.75071	35.19926	85.23916	17.0439	123.26265	33.59882	-7.4591312	2.0688174	12.187796	-19.98227	-173.17259	6.8497577	2308.9875361919403
9	705.87164	65.40722	814.6402	588.78503	-110.93862	39.557636	-52.55783	-158.4332	85.72023	178.26186	572.77014	-25.211088	-26.88947	54.598488	22.47134	-111.77502	-137.8281	36.785378	-77.540886	-170.60924	791.59186	194.45354	1298.1869	599.7436	1000.0	1000.0	35999	83.6849	15.287123	122.401955	35.80417	83.685555	15.290699	123.29857	35.498707	-7.4249005	2.0708306	13.461361	-18.147846	-170.08093	6.4982543	2640.1017422676086
10	665.5343	123.22258	906.93915	484.30298	-137.1057	61.982136	-88.9492	-241.6115	181.81596	175.45206	472.78683	10.183041	51.99035	80.49075	174.90999	-48.27448	-85.11536	40.11832	-32.535835	-140.78893	847.3503	102.63374	1015.31573	705.8121	1000.0	1000.0	39999	83.47404	14.124149	122.08636	37.242573	83.47392	14.129156	124.20825	36.15188	-7.406677	2.071073	13.852573	-19.434875	-169.66463	6.5778837	2952.976242542267
