Epoch	AverageTestEnv0Ret	StdTestEnv0Ret	MaxTestEnv0Ret	MinTestEnv0Ret	AverageEnv0Ret	StdEnv0Ret	MaxEnv0Ret	MinEnv0Ret	AverageTestEnv1Ret	StdTestEnv1Ret	MaxTestEnv1Ret	MinTestEnv1Ret	AverageEnv1Ret	StdEnv1Ret	MaxEnv1Ret	MinEnv1Ret	AverageTestEnv2Ret	StdTestEnv2Ret	MaxTestEnv2Ret	MinTestEnv2Ret	AverageEnv2Ret	StdEnv2Ret	MaxEnv2Ret	MinEnv2Ret	AverageTestEnv3Ret	StdTestEnv3Ret	MaxTestEnv3Ret	MinTestEnv3Ret	AverageEnv3Ret	StdEnv3Ret	MaxEnv3Ret	MinEnv3Ret	AverageTestEnv4Ret	StdTestEnv4Ret	MaxTestEnv4Ret	MinTestEnv4Ret	AverageEnv4Ret	StdEnv4Ret	MaxEnv4Ret	MinEnv4Ret	AverageTestEnv5Ret	StdTestEnv5Ret	MaxTestEnv5Ret	MinTestEnv5Ret	AverageEnv5Ret	StdEnv5Ret	MaxEnv5Ret	MinEnv5Ret	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-26.679974	6.5669575	-17.534689	-37.44075	-255.43213	59.584824	-185.83286	-350.4604	-26.679974	6.5669575	-17.534689	-37.44075	-255.43213	59.584824	-185.83286	-350.4604	-26.679974	6.5669575	-17.534689	-37.44075	-255.43213	59.584824	-185.83286	-350.4604	-26.679974	6.5669575	-17.534689	-37.44075	-255.43213	59.584824	-185.83286	-350.4604	-26.679974	6.5669575	-17.534689	-37.44075	-255.43213	59.584824	-185.83286	-350.4604	-26.679974	6.5669575	-17.534689	-37.44075	-255.43213	59.584824	-185.83286	-350.4604	-255.43213	59.584824	-185.83286	-350.4604	-26.679974	6.5669575	-17.534689	-37.44075	1000.0	1000.0	3999	3.6230192	2.4910088	18.665464	-1.642534	3.6255662	2.4785619	18.34919	-0.22990245	-3.5744689	1.1011059	7.2100067	-11.455518	102.01488	0.5488187	140.0308699607849
2	-20.36604	25.251171	51.52366	-47.384796	-245.9191	43.70649	-178.69214	-301.03006	-20.36604	25.251171	51.52366	-47.384796	-245.9191	43.70649	-178.69214	-301.03006	-20.36604	25.251171	51.52366	-47.384796	-245.9191	43.70649	-178.69214	-301.03006	-20.36604	25.251171	51.52366	-47.384796	-245.9191	43.70649	-178.69214	-301.03006	-20.36604	25.251171	51.52366	-47.384796	-245.9191	43.70649	-178.69214	-301.03006	-20.36604	25.251171	51.52366	-47.384796	-245.9191	43.70649	-178.69214	-301.03006	-245.9191	43.70649	-178.69214	-301.03006	-20.36604	25.251171	51.52366	-47.384796	1000.0	1000.0	7999	12.915453	5.42749	41.74128	-0.85758734	12.915719	5.4133697	40.014442	-0.11696046	-2.1094577	2.349792	14.6762905	-13.179859	321.9512	1.8768002	318.05269408226013
3	-232.37886	108.59517	-94.09751	-399.59225	-296.0135	67.25257	-215.04065	-397.91245	-232.37886	108.59517	-94.09751	-399.59225	-296.0135	67.25257	-215.04065	-397.91245	-232.37886	108.59517	-94.09751	-399.59225	-296.0135	67.25257	-215.04065	-397.91245	-232.37886	108.59517	-94.09751	-399.59225	-296.0135	67.25257	-215.04065	-397.91245	-232.37886	108.59517	-94.09751	-399.59225	-296.0135	67.25257	-215.04065	-397.91245	-232.37886	108.59517	-94.09751	-399.59225	-296.0135	67.25257	-215.04065	-397.91245	-296.0135	67.25257	-215.04065	-397.91245	-232.37886	108.59517	-94.09751	-399.59225	1000.0	1000.0	11999	29.341465	9.9554825	65.31348	8.069838	29.341055	9.941005	69.1739	8.0888	-0.65314865	2.9841647	14.343779	-12.986994	708.1224	3.6520562	500.3993103504181
4	719.16534	474.9771	1438.1886	114.46741	-15.022966	73.38029	56.71929	-125.900734	719.16534	474.9771	1438.1886	114.46741	-15.022966	73.38029	56.71929	-125.900734	719.16534	474.9771	1438.1886	114.46741	-15.022966	73.38029	56.71929	-125.900734	719.16534	474.9771	1438.1886	114.46741	-15.022966	73.38029	56.71929	-125.900734	719.16534	474.9771	1438.1886	114.46741	-15.022966	73.38029	56.71929	-125.900734	719.16534	474.9771	1438.1886	114.46741	-15.022966	73.38029	56.71929	-125.900734	-15.022966	73.38029	56.71929	-125.900734	719.16534	474.9771	1438.1886	114.46741	1000.0	1000.0	15999	36.710526	12.118834	74.374565	13.338722	36.7102	12.110093	76.866165	12.913781	-2.3953311	2.003455	11.608252	-12.54826	860.30493	3.498816	689.0541708469391
5	1587.7273	151.06354	1766.3497	1165.2015	620.5957	402.51038	1067.3048	-12.10875	1587.7273	151.06354	1766.3497	1165.2015	620.5957	402.51038	1067.3048	-12.10875	1587.7273	151.06354	1766.3497	1165.2015	620.5957	402.51038	1067.3048	-12.10875	1587.7273	151.06354	1766.3497	1165.2015	620.5957	402.51038	1067.3048	-12.10875	1587.7273	151.06354	1766.3497	1165.2015	620.5957	402.51038	1067.3048	-12.10875	1587.7273	151.06354	1766.3497	1165.2015	620.5957	402.51038	1067.3048	-12.10875	620.5957	402.51038	1067.3048	-12.10875	1587.7273	151.06354	1766.3497	1165.2015	1000.0	1000.0	19999	39.162323	12.750248	83.13592	17.396912	39.16222	12.743618	80.78122	17.29001	-2.581584	1.8660433	11.163127	-12.146157	913.94385	3.0664911	900.6557388305664
6	2314.0454	111.24675	2497.4177	2175.9092	878.30225	322.02087	1230.074	429.66748	2314.0454	111.24675	2497.4177	2175.9092	878.30225	322.02087	1230.074	429.66748	2314.0454	111.24675	2497.4177	2175.9092	878.30225	322.02087	1230.074	429.66748	2314.0454	111.24675	2497.4177	2175.9092	878.30225	322.02087	1230.074	429.66748	2314.0454	111.24675	2497.4177	2175.9092	878.30225	322.02087	1230.074	429.66748	2314.0454	111.24675	2497.4177	2175.9092	878.30225	322.02087	1230.074	429.66748	878.30225	322.02087	1230.074	429.66748	2314.0454	111.24675	2497.4177	2175.9092	1000.0	1000.0	23999	45.794884	15.623266	103.41746	20.7081	45.79456	15.617285	105.32089	19.202255	-2.2020123	2.0671666	12.3866825	-12.722866	1066.3413	3.826937	1106.535651922226
7	2702.4995	93.176796	2868.484	2542.5015	1655.7888	298.9561	2046.7709	1206.2922	2702.4995	93.176796	2868.484	2542.5015	1655.7888	298.9561	2046.7709	1206.2922	2702.4995	93.176796	2868.484	2542.5015	1655.7888	298.9561	2046.7709	1206.2922	2702.4995	93.176796	2868.484	2542.5015	1655.7888	298.9561	2046.7709	1206.2922	2702.4995	93.176796	2868.484	2542.5015	1655.7888	298.9561	2046.7709	1206.2922	2702.4995	93.176796	2868.484	2542.5015	1655.7888	298.9561	2046.7709	1206.2922	1655.7888	298.9561	2046.7709	1206.2922	2702.4995	93.176796	2868.484	2542.5015	1000.0	1000.0	27999	54.03885	20.257069	118.544174	23.421457	54.038445	20.249401	116.51968	23.86692	-1.6321328	2.3857331	13.76326	-13.696781	1255.424	5.265049	1309.8571872711182
8	3110.4856	133.99661	3310.853	2866.0276	2326.3252	97.283516	2446.8835	2175.1667	3110.4856	133.99661	3310.853	2866.0276	2326.3252	97.283516	2446.8835	2175.1667	3110.4856	133.99661	3310.853	2866.0276	2326.3252	97.283516	2446.8835	2175.1667	3110.4856	133.99661	3310.853	2866.0276	2326.3252	97.283516	2446.8835	2175.1667	3110.4856	133.99661	3310.853	2866.0276	2326.3252	97.283516	2446.8835	2175.1667	3110.4856	133.99661	3310.853	2866.0276	2326.3252	97.283516	2446.8835	2175.1667	2326.3252	97.283516	2446.8835	2175.1667	3110.4856	133.99661	3310.853	2866.0276	1000.0	1000.0	31999	67.46043	26.625057	138.9131	25.576117	67.46024	26.616941	138.73907	25.292189	-0.92773634	2.7383623	17.30729	-13.641837	1560.185	7.0905232	1514.3802425861359
9	3372.5444	150.87827	3515.0273	3014.463	2781.4756	68.38065	2847.0076	2668.3599	3372.5444	150.87827	3515.0273	3014.463	2781.4756	68.38065	2847.0076	2668.3599	3372.5444	150.87827	3515.0273	3014.463	2781.4756	68.38065	2847.0076	2668.3599	3372.5444	150.87827	3515.0273	3014.463	2781.4756	68.38065	2847.0076	2668.3599	3372.5444	150.87827	3515.0273	3014.463	2781.4756	68.38065	2847.0076	2668.3599	3372.5444	150.87827	3515.0273	3014.463	2781.4756	68.38065	2847.0076	2668.3599	2781.4756	68.38065	2847.0076	2668.3599	3372.5444	150.87827	3515.0273	3014.463	1000.0	1000.0	35999	83.42476	33.480644	165.99594	27.764393	83.42455	33.473595	165.92064	27.898045	-0.3419472	2.9881873	18.86031	-12.640492	1924.8237	8.2335205	1716.9783725738525
10	3726.6184	88.35912	3811.502	3517.7886	3201.9563	152.27293	3447.5828	3071.7	3726.6184	88.35912	3811.502	3517.7886	3201.9563	152.27293	3447.5828	3071.7	3726.6184	88.35912	3811.502	3517.7886	3201.9563	152.27293	3447.5828	3071.7	3726.6184	88.35912	3811.502	3517.7886	3201.9563	152.27293	3447.5828	3071.7	3726.6184	88.35912	3811.502	3517.7886	3201.9563	152.27293	3447.5828	3071.7	3726.6184	88.35912	3811.502	3517.7886	3201.9563	152.27293	3447.5828	3071.7	3201.9563	152.27293	3447.5828	3071.7	3726.6184	88.35912	3811.502	3517.7886	1000.0	1000.0	39999	100.81709	40.61627	191.14632	29.665682	100.81667	40.610973	191.03633	29.251913	0.0968075	3.1363492	21.169838	-13.991293	2320.5115	9.827703	1915.4978506565094
