Epoch	AverageTestEnv0Ret	StdTestEnv0Ret	MaxTestEnv0Ret	MinTestEnv0Ret	AverageEnv0Ret	StdEnv0Ret	MaxEnv0Ret	MinEnv0Ret	AverageTestEnv1Ret	StdTestEnv1Ret	MaxTestEnv1Ret	MinTestEnv1Ret	AverageEnv1Ret	StdEnv1Ret	MaxEnv1Ret	MinEnv1Ret	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	85.74499	77.71999	281.0537	-28.787285	-347.22675	27.766356	-302.4822	-373.71332	115.88411	37.459904	196.8546	43.18059	-348.52673	23.234879	-308.86896	-368.0512	-695.7535	38.78376	-654.89044	-741.7645	201.62912	101.637596	477.9083	94.078575	1000.0	1000.0	3999	10.436661	6.0899267	45.92138	0.018908694	10.436692	6.093157	47.93514	0.14055312	-9.3468275	2.158074	8.983896	-19.288286	40.064877	1.2441304	112.53735303878784
2	-924.0868	45.655838	-831.81116	-1010.6581	-326.7976	30.671865	-280.95505	-360.18713	-1001.1056	72.61453	-863.0685	-1114.1265	-292.60822	59.421093	-224.55885	-352.50082	-619.4059	53.59908	-560.209	-700.8402	-1925.1921	66.97819	-1810.0436	-2016.0367	1000.0	1000.0	7999	36.991337	11.55176	103.22057	3.525758	36.99158	11.554636	101.99329	3.172861	-4.6887183	4.2005057	20.102242	-20.933695	126.031	4.226363	275.0766348838806
3	162.60129	72.07415	323.97855	37.41886	-382.44693	305.30063	-27.551931	-787.23303	85.423225	53.387585	169.72356	6.553526	-397.20816	326.1403	-74.93189	-922.9303	-779.6551	627.2941	-102.483826	-1710.1633	248.02454	112.22502	443.1588	43.97239	657.2	909.4	11999	77.174164	13.026549	148.08833	16.997866	77.17486	13.035471	147.39682	6.419136	-2.142627	5.3166213	38.913635	-22.703793	252.68938	11.96783	435.8013210296631
4	650.92755	12.080536	672.93835	635.25775	-611.9144	68.35849	-527.6725	-705.03186	427.62897	27.76745	460.11215	369.3514	-668.9586	49.285053	-608.8908	-721.21484	-1280.8729	116.62419	-1136.5632	-1426.2467	1078.5564	36.517258	1123.3352	1004.60913	1000.0	1000.0	15999	84.45755	8.17018	142.61687	3.606174	84.45805	8.18591	143.24474	1.3877656	-8.153984	2.71154	26.158535	-20.688366	269.32028	10.46539	592.6213788986206
5	705.5636	33.22726	741.34204	649.498	-431.64008	51.354282	-344.2794	-470.34396	507.8625	69.74182	629.0683	406.7573	-483.32083	60.90899	-415.91193	-558.3895	-914.96094	94.50251	-775.6506	-1025.2076	1213.4261	87.55594	1337.3147	1058.0355	1000.0	1000.0	19999	77.1477	7.829197	140.68011	0.94651055	77.14809	7.8430204	140.90512	0.91140366	-8.928769	2.1573446	28.06989	-19.62579	244.85068	8.397974	746.5972888469696
6	716.298	30.936295	765.23724	668.893	-352.4503	71.56471	-231.2357	-415.26773	533.0893	26.60618	563.7546	472.29294	-392.80377	10.56803	-376.72192	-406.0797	-745.254	79.94474	-607.95764	-807.48456	1249.3873	47.985897	1310.81	1165.9346	1000.0	1000.0	23999	71.80329	7.4919906	134.58495	0.95300186	71.80372	7.505197	134.97011	1.0036753	-9.163925	1.9457885	19.24101	-20.35873	227.71556	7.545132	905.1706402301788
7	748.3809	45.039917	817.79236	637.58624	-246.90717	32.78665	-203.62401	-284.28314	609.8245	84.13457	777.1485	525.4483	-316.9418	61.590763	-228.37802	-390.10898	-563.849	89.88826	-455.74414	-674.39215	1358.2054	93.556435	1568.7325	1264.784	1000.0	1000.0	27999	68.67223	6.9492664	128.85966	1.0283673	68.67257	6.9635406	128.54889	1.0811082	-9.306741	1.8123649	43.433117	-20.271818	216.82828	6.775538	1060.960448026657
8	758.26416	41.335747	797.5491	647.9742	-194.24057	99.133736	3.4829633	-252.01494	644.34985	68.486885	717.54205	524.8928	-211.07687	104.09455	-11.358553	-288.57205	-405.31747	200.85162	-7.87559	-538.8075	1402.614	72.67924	1485.8312	1277.7375	804.8	1000.0	31999	67.51872	6.700308	123.15656	1.1042713	67.5192	6.712296	119.00499	1.1575024	-9.350025	1.7511656	26.227245	-21.77184	212.72752	6.4804354	1222.7001729011536
9	644.7607	62.855453	759.646	584.1353	-243.26659	19.958063	-212.62868	-268.56003	399.38565	129.16182	623.5874	132.2439	-197.17227	22.025543	-171.4972	-230.71361	-440.43884	14.097928	-416.89938	-453.8831	1044.1465	139.6055	1246.7452	716.3792	1000.0	1000.0	35999	67.918724	6.7277184	117.20421	1.181049	67.91871	6.7394323	114.494995	1.2305373	-9.335051	1.73731	30.511246	-20.575119	214.16821	6.328712	1381.0747737884521
10	775.6457	85.30255	878.78595	558.923	-181.98514	41.64943	-132.96202	-232.37582	793.0431	69.620995	885.8505	671.3251	-178.78955	50.93543	-113.49219	-253.26463	-360.7747	91.2199	-246.45421	-485.64044	1568.6887	87.5816	1712.6819	1404.8939	1000.0	1000.0	39999	69.41959	6.7492323	115.67594	1.2446907	69.41957	6.7566886	113.9167	1.298351	-9.35624	1.7113146	20.943333	-22.655342	218.26793	6.0520024	1541.3138175010681
