Epoch	AverageTestEnv0Ret	StdTestEnv0Ret	MaxTestEnv0Ret	MinTestEnv0Ret	AverageEnv0Ret	StdEnv0Ret	MaxEnv0Ret	MinEnv0Ret	AverageTestEnv1Ret	StdTestEnv1Ret	MaxTestEnv1Ret	MinTestEnv1Ret	AverageEnv1Ret	StdEnv1Ret	MaxEnv1Ret	MinEnv1Ret	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	821.804	178.16939	1264.8011	585.6383	-336.83603	20.906683	-318.39685	-372.32446	-28.390326	8.107109	-10.106302	-39.154182	-332.0736	122.80268	-204.29434	-483.58835	-668.9096	140.07762	-522.69116	-855.9128	793.4137	185.39352	1254.6948	547.5092	1000.0	1000.0	3999	138.85173	101.81436	213.9152	-24.2574	138.8432	101.81654	216.7668	-23.833727	-5.6257505	5.672721	87.94918	-15.567344	-1.1090841	5.8309045	96.79383611679077
2	617.58026	58.74141	685.8806	510.45554	-334.98672	47.978752	-286.65594	-387.44687	-100.87289	20.474993	-77.73224	-130.85634	-298.18726	31.292006	-255.04855	-338.83698	-633.174	68.69299	-542.63086	-726.2839	516.7074	76.64786	604.7516	388.73785	1000.0	1000.0	7999	130.5218	98.248	210.69994	-24.085224	130.52042	98.24931	201.6376	-19.450022	-5.6112757	5.172674	66.636696	-14.812576	-1.0696672	4.8152747	216.70612907409668
3	943.30505	218.1402	1267.2698	549.5783	-35.961662	259.09082	238.16125	-329.83713	185.31555	112.97076	273.20993	-60.173786	-246.4021	35.578987	-213.8216	-303.13626	-282.36377	229.13405	-44.990795	-548.4859	1128.6207	306.6943	1528.2251	536.6226	1000.0	1000.0	11999	121.13879	92.34429	193.31686	-14.259374	121.13557	92.34281	191.59424	-10.050301	-5.388977	4.942807	54.336353	-19.54452	-1.0736833	5.3796263	336.30190205574036
4	1959.8057	62.31263	2045.0814	1850.3741	371.94003	245.0569	795.28406	202.0349	-125.92107	17.73907	-97.01522	-161.0492	-172.8439	47.43564	-104.259056	-224.94345	199.09613	220.64183	570.34064	-5.944335	1833.8848	60.986855	1930.3387	1740.3201	1000.0	1000.0	15999	113.50232	87.01407	181.3663	-11.775662	113.50066	87.01322	179.99622	-9.165631	-5.8406377	5.0481668	70.04656	-14.197597	-0.8787245	5.1038494	460.4157156944275
5	1635.9172	248.81505	1927.16	1124.468	323.75073	74.44847	438.67804	230.9122	-63.267357	31.966434	-9.619586	-125.84934	-193.60674	13.128096	-172.48271	-207.77953	130.14401	69.24389	244.60695	58.429478	1572.6499	240.44684	1907.9742	1081.8676	1000.0	1000.0	19999	112.856	87.759254	166.54657	-10.879276	112.85642	87.75956	161.87146	-8.77479	-5.799095	4.9143286	65.56386	-15.581984	-0.103381835	5.251668	584.8386073112488
6	1469.7059	250.30869	1833.7937	1132.0868	371.9577	114.4308	534.40344	239.28374	-81.34473	30.811356	-35.24737	-138.40393	-193.0533	18.405066	-166.36034	-214.4289	178.9044	116.200615	329.4335	52.829674	1388.3612	229.87549	1714.4812	1050.1509	1000.0	1000.0	23999	106.18175	81.73042	147.20834	-10.409576	106.18255	81.73041	145.0031	-8.521391	-5.850776	4.937479	64.90858	-17.422588	-0.25751027	4.723508	709.5578889846802
7	1179.6809	279.06818	1666.4991	879.68195	355.87946	102.53187	495.9696	254.6486	-16.003338	21.246002	13.9218025	-62.709263	-181.43205	28.76124	-138.54004	-216.44499	174.44739	100.06674	300.29837	44.429726	1163.6775	271.23013	1632.5885	878.45575	1000.0	1000.0	27999	101.41916	77.4473	138.04062	-10.751883	101.42122	77.44871	140.0185	-9.103059	-5.7300205	4.8787766	58.88153	-16.131042	-0.8739117	4.813307	834.1968739032745
8	1296.4877	386.0294	1935.4121	800.0242	462.8959	187.87573	787.0787	332.23703	-40.850815	20.67872	-13.322884	-75.97302	-239.66692	31.525105	-208.16953	-288.944	223.229	189.9582	542.21344	43.293037	1255.637	368.67877	1859.4391	765.26044	1000.0	1000.0	31999	99.01565	75.25874	134.0704	-10.111681	99.0173	75.25943	136.30904	-8.468583	-5.631421	4.8135576	50.562916	-13.5041	-1.0345265	5.3718553	957.4141569137573
9	1574.0695	471.9758	2063.561	832.85803	614.48114	199.9663	797.29694	280.16342	71.13755	68.40928	183.91557	-54.564346	-217.27655	50.109154	-165.16107	-298.0769	397.2046	194.5452	632.13586	91.1501	1645.207	495.75104	2213.1575	778.2937	1000.0	1000.0	35999	98.27905	74.46447	127.48352	-10.731042	98.28108	74.465614	127.1225	-7.7017436	-5.5509562	4.7537594	41.839516	-14.9081545	-0.082176045	5.7219815	1080.4058065414429
10	1857.4847	151.94353	1988.315	1432.2632	627.66925	372.20215	1210.9036	298.17123	-52.58379	17.083853	-23.341352	-77.28423	-202.14304	14.2333355	-187.97833	-222.17471	425.5262	363.79492	988.7288	100.48163	1804.9008	146.68367	1911.0308	1397.8789	1000.0	1000.0	39999	97.25606	73.42506	126.050835	-9.429138	97.25796	73.425156	123.99958	-7.1859865	-5.331547	4.701745	43.208225	-15.654308	-0.38899696	5.533863	1201.1133069992065
