Epoch	AverageTestEnv0Ret	StdTestEnv0Ret	MaxTestEnv0Ret	MinTestEnv0Ret	AverageEnv0Ret	StdEnv0Ret	MaxEnv0Ret	MinEnv0Ret	AverageTestEnv1Ret	StdTestEnv1Ret	MaxTestEnv1Ret	MinTestEnv1Ret	AverageEnv1Ret	StdEnv1Ret	MaxEnv1Ret	MinEnv1Ret	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-194.12953	40.67135	-111.47681	-269.40884	-262.25974	38.629818	-198.35648	-302.04477	-194.12953	40.67135	-111.47681	-269.40884	-262.25974	38.629818	-198.35648	-302.04477	-262.25974	38.629818	-198.35648	-302.04477	-194.12953	40.67135	-111.47681	-269.40884	1000.0	1000.0	3999	3.8879259	3.0375915	18.987474	-0.50805706	3.8727834	3.0587876	19.008755	-4.4089556	-3.1451893	1.4291455	12.099766	-10.885594	3.6680527	0.90328974	69.90347647666931
2	-724.1181	77.685295	-589.9799	-857.11115	-278.97458	97.62576	-166.36177	-432.5023	-724.1181	77.685295	-589.9799	-857.11115	-278.97458	97.62576	-166.36177	-432.5023	-278.97458	97.62576	-166.36177	-432.5023	-724.1181	77.685295	-589.9799	-857.11115	1000.0	1000.0	7999	14.388742	5.237883	36.392406	-0.500778	14.388257	5.233093	37.020374	-4.5774612	-1.8063525	2.3890045	16.814306	-13.735829	11.892903	2.6781185	156.20966815948486
3	-104.1682	29.277264	-32.509148	-146.31532	-286.75037	48.667816	-211.79213	-346.57303	-104.1682	29.277264	-32.509148	-146.31532	-286.75037	48.667816	-211.79213	-346.57303	-286.75037	48.667816	-211.79213	-346.57303	-104.1682	29.277264	-32.509148	-146.31532	1000.0	1000.0	11999	26.343584	6.1842275	63.80442	6.255317	26.343298	6.175538	63.418037	5.8742814	-1.4411849	2.568952	15.047434	-13.636049	20.86034	4.124628	245.3962640762329
4	988.25183	55.253937	1066.5841	880.0199	5.37583	36.688908	65.10972	-25.380228	988.25183	55.253937	1066.5841	880.0199	5.37583	36.688908	65.10972	-25.380228	5.37583	36.688908	65.10972	-25.380228	988.25183	55.253937	1066.5841	880.0199	1000.0	1000.0	15999	31.268175	8.215233	65.84406	10.13439	31.268776	8.207631	63.60509	9.910449	-2.2817018	2.0700004	13.968423	-14.452137	24.048506	4.574585	337.4669134616852
5	1199.504	625.1643	1853.4266	122.61728	810.83264	201.39383	1067.0258	507.45184	1199.504	625.1643	1853.4266	122.61728	810.83264	201.39383	1067.0258	507.45184	810.83264	201.39383	1067.0258	507.45184	1199.504	625.1643	1853.4266	122.61728	1000.0	1000.0	19999	35.77554	10.720715	77.76849	13.391386	35.77612	10.715443	76.870056	12.954335	-2.372618	2.022511	15.358209	-12.11906	27.516375	4.1855516	429.602676153183
6	2118.615	83.34602	2254.201	1977.6152	1406.3553	174.96526	1554.0453	1121.2228	2118.615	83.34602	2254.201	1977.6152	1406.3553	174.96526	1554.0453	1121.2228	1406.3553	174.96526	1554.0453	1121.2228	2118.615	83.34602	2254.201	1977.6152	1000.0	1000.0	23999	44.046783	14.233706	90.93771	16.828604	44.04728	14.229211	93.00065	15.847129	-1.8787525	2.3585925	21.092966	-14.213588	33.736217	5.1367846	524.3905811309814
7	2246.4995	53.086784	2339.6694	2173.994	806.01526	527.044	1642.9708	333.5942	2246.4995	53.086784	2339.6694	2173.994	806.01526	527.044	1642.9708	333.5942	806.01526	527.044	1642.9708	333.5942	2246.4995	53.086784	2339.6694	2173.994	1000.0	1000.0	27999	54.758095	18.671076	113.09174	20.661291	54.75809	18.66649	109.73518	19.657808	-1.1381018	2.7891564	23.272247	-14.136433	41.51548	6.5776825	619.1576237678528
8	2588.7642	72.6309	2711.1296	2421.3809	1955.2332	98.14856	2122.5278	1883.9282	2588.7642	72.6309	2711.1296	2421.3809	1955.2332	98.14856	2122.5278	1883.9282	1955.2332	98.14856	2122.5278	1883.9282	2588.7642	72.6309	2711.1296	2421.3809	1000.0	1000.0	31999	65.86218	23.621399	125.6377	23.340887	65.86218	23.617062	126.15886	22.468786	-0.87398624	2.9956284	20.327908	-14.075123	49.58519	7.479924	712.1431539058685
9	2857.0122	53.723015	2926.5144	2753.8628	2310.8066	53.885956	2395.566	2257.34	2857.0122	53.723015	2926.5144	2753.8628	2310.8066	53.885956	2395.566	2257.34	2310.8066	53.885956	2395.566	2257.34	2857.0122	53.723015	2926.5144	2753.8628	1000.0	1000.0	35999	79.7504	27.884075	146.29158	24.107506	79.75053	27.88112	145.80113	23.283058	-0.6710712	3.0599732	21.54563	-14.567129	58.113235	8.805455	804.0999336242676
10	3182.8716	82.789604	3403.7803	3096.6228	2498.5977	171.89618	2739.9612	2284.7378	3182.8716	82.789604	3403.7803	3096.6228	2498.5977	171.89618	2739.9612	2284.7378	2498.5977	171.89618	2739.9612	2284.7378	3182.8716	82.789604	3403.7803	3096.6228	1000.0	1000.0	39999	93.8219	31.987032	160.88998	24.568068	93.82142	31.983995	160.61995	23.245905	-0.4006387	3.179346	23.005339	-14.099329	67.16795	9.871523	896.4302859306335
