Epoch	AverageTestEnv0Ret	StdTestEnv0Ret	MaxTestEnv0Ret	MinTestEnv0Ret	AverageEnv0Ret	StdEnv0Ret	MaxEnv0Ret	MinEnv0Ret	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	405.86823	31.409567	462.50018	348.5661	-102.60057	147.82826	13.305163	-409.13	-102.60057	147.82826	13.305163	-409.13	405.86823	31.409567	462.50018	348.5661	302.30768	1000.0	3999	4.8250856	3.7857456	27.790684	-14.39756	4.8255677	3.7906199	26.920773	-14.198373	-4.5492125	1.4167	10.375444	-13.900972	2.2802463	1.2768376	80.76545786857605
2	-211.54941	34.922523	-135.10704	-263.88922	-60.29933	103.66665	33.835167	-429.89645	-60.29933	103.66665	33.835167	-429.89645	-211.54941	34.922523	-135.10704	-263.88922	169.04167	1000.0	7999	15.0134115	5.620906	44.41838	-15.914098	15.012953	5.6338987	43.74957	-15.476015	-3.409933	2.0861127	16.14178	-16.731253	6.2312856	4.266424	181.25140953063965
3	596.22516	8.282858	607.3222	580.63025	-56.766785	86.8074	1.6848581	-356.8376	-56.766785	86.8074	1.6848581	-356.8376	596.22516	8.282858	607.3222	580.63025	156.70833	1000.0	11999	25.004507	5.8981805	54.59277	-10.259804	25.00445	5.922294	54.902813	-11.172019	-2.9247375	2.290596	16.354555	-15.361256	9.9927845	7.7504687	280.97790789604187
4	684.556	11.338271	700.04535	662.769	-100.90032	89.14102	18.912033	-192.50418	-100.90032	89.14102	18.912033	-192.50418	684.556	11.338271	700.04535	662.769	709.4	1000.0	15999	27.038593	5.631658	57.410423	-26.314114	27.03894	5.650937	57.701225	-13.88594	-3.5302455	1.9148284	15.477599	-14.337156	10.537736	7.009144	384.32511162757874
5	845.20715	16.777155	874.861	826.58417	-29.993134	55.316334	45.964485	-121.396255	-29.993134	55.316334	45.964485	-121.396255	845.20715	16.777155	874.861	826.58417	597.7143	1000.0	19999	26.954792	5.554557	58.553177	-17.155815	26.954977	5.570543	59.61762	-16.610811	-3.698622	1.7993007	12.927048	-15.906135	10.456574	5.906303	489.31894755363464
6	773.12976	34.35903	843.7477	712.0497	18.72607	52.986668	100.65343	-83.10923	18.72607	52.986668	100.65343	-83.10923	773.12976	34.35903	843.7477	712.0497	401.77777	1000.0	23999	27.775322	5.4574285	60.64608	-24.716787	27.775946	5.4694815	59.060764	-15.261	-3.7312546	1.7256241	17.385876	-16.252611	10.781539	6.025659	593.342001914978
7	667.6235	110.1531	843.10675	554.6113	38.07935	32.890797	109.0672	-2.9046335	38.07935	32.890797	109.0672	-2.9046335	667.6235	110.1531	843.10675	554.6113	442.0	1000.0	27999	29.427876	5.2586074	56.65448	-15.64159	29.428495	5.2687945	58.140995	-16.216202	-3.6224115	1.7002035	20.485138	-14.356444	10.770843	5.3734226	693.0095808506012
8	706.95984	88.34924	871.1469	494.92322	34.185852	33.939148	90.488014	1.695239	34.185852	33.939148	90.488014	1.695239	706.95984	88.34924	871.1469	494.92322	617.0	965.9	31999	31.824785	5.0668297	58.091072	-29.240097	31.826027	5.0799637	57.159863	-29.578495	-3.5556476	1.6778327	18.901405	-14.361748	11.401409	5.5577774	792.4079539775848
9	747.46747	72.783424	936.0585	666.7601	60.808823	70.654526	196.11351	-14.517033	60.808823	70.654526	196.11351	-14.517033	747.46747	72.783424	936.0585	666.7601	389.81818	1000.0	35999	34.29715	5.063268	61.977535	-17.809221	34.29816	5.072683	61.476364	-17.653198	-3.5457575	1.6729921	32.51235	-14.449427	12.032332	5.44704	898.2014992237091
10	821.2251	30.92155	903.4598	782.22314	158.16055	71.6685	244.71022	63.714718	158.16055	71.6685	244.71022	63.714718	821.2251	30.92155	903.4598	782.22314	705.0	1000.0	39999	36.96319	5.3327384	63.320995	-24.48257	36.96389	5.343314	63.007744	-21.07686	-3.452562	1.6476129	21.94062	-15.456377	12.3554325	5.450757	1005.6189107894897
11	763.7784	74.206894	854.51404	587.54614	94.79479	110.14039	339.50797	-4.894541	94.79479	110.14039	339.50797	-4.894541	763.7784	74.206894	854.51404	587.54614	396.45456	965.6	43999	39.913254	5.699263	65.97837	-21.913237	39.91403	5.7047963	65.29145	-25.116392	-3.4123256	1.6515429	19.103794	-14.981606	12.734084	5.4497514	1110.6634051799774
12	866.9679	114.533966	940.83295	526.08295	104.91993	81.45107	225.67828	-4.5914073	104.91993	81.45107	225.67828	-4.5914073	866.9679	114.533966	940.83295	526.08295	391.44446	953.6	47999	42.4309	6.1798487	66.64054	-26.047312	42.431423	6.1882157	68.11181	-30.241768	-3.3161314	1.6488719	26.322178	-14.770964	12.606818	5.9073014	1213.9611473083496
13	563.7607	351.51306	984.28546	23.007559	125.840515	81.42299	263.49646	34.091904	125.840515	81.42299	263.49646	34.091904	563.7607	351.51306	984.28546	23.007559	432.7	570.0	51999	44.994743	6.6142406	68.03503	-22.872818	44.995216	6.6204853	68.006165	-26.33575	-3.3192708	1.6445919	23.225254	-14.955976	13.401975	5.919376	1309.579832315445
14	833.8078	76.565735	953.09375	706.177	168.53058	119.51089	335.36435	40.08865	168.53058	119.51089	335.36435	40.08865	833.8078	76.565735	953.09375	706.177	480.625	1000.0	55999	47.31447	7.1275554	69.142654	-21.00272	47.315186	7.134427	68.57331	-33.94369	-3.3110797	1.6521859	30.31892	-14.951151	14.258938	6.0779786	1414.3408286571503
15	802.9512	9.778413	821.5217	787.78906	176.50127	132.93355	382.12323	35.430004	176.50127	132.93355	382.12323	35.430004	802.9512	9.778413	821.5217	787.78906	495.55554	1000.0	59999	49.757225	7.543209	70.1559	-25.445862	49.75802	7.547819	71.81564	-17.38149	-3.3036323	1.6493907	24.520023	-16.766075	14.8052225	5.8436966	1519.4791214466095
16	798.6647	233.43082	932.4065	148.4424	228.29698	127.589455	356.26556	15.840337	228.29698	127.589455	356.26556	15.840337	798.6647	233.43082	932.4065	148.4424	762.75	907.9	63999	52.00067	7.989799	82.28402	-27.223635	52.001484	7.996151	81.59311	-23.643675	-3.274155	1.6739329	30.490753	-15.051327	14.895737	5.88401	1623.9242508411407
17	862.8177	228.0635	1049.0789	210.09094	163.04077	121.44575	359.96735	17.636759	163.04077	121.44575	359.96735	17.636759	862.8177	228.0635	1049.0789	210.09094	529.1111	908.3	67999	53.944954	8.322203	82.15581	-33.787666	53.94564	8.329093	82.40041	-23.817327	-3.305836	1.6463134	34.746136	-16.564198	16.082119	5.817859	1726.4483227729797
